title,company,titleUrl,job_content,job_require,job_welfare,job_contact
((想來杜拜瞧過來))強力招募企劃專員_無相關經驗謝絕,STARWIN TRADING L.L.C,https://www.104.com.tw/job/70jpc?jobsource=jolist_a_relevance,我們是杜拜新創的遊戲平台研發公司，從2020年1月至今在杜拜已有多個月的菜鳥資歷，在中東這奢華的杜拜國，經歷了疫情的挑戰，感謝阿拉的PO-PI(保佑)，讓我們越戰越勇，讓StarWin的運營目前持續成長 ! 目前超想招聘一群有熱情、喜歡挑戰、想來杜拜體驗奢華，想跟阿拉結善緣的技術高手，加入我們這人還少少、制度好還要更好的菜鳥公司。讓大家在StarWin，一起高唱「We are family」!【崗位職責】1.遊戲需求調研，用戶需求掌控，根據活動數據分析產品並提出需求。2.負責進度管理與追踪，保證質量以及測試順利進行。3.結合數據分析、監控用戶行為習慣及各項指標變化，制定符合產品需求的針對性運營策略。4.負責生命週期，追蹤、分析產品使用情況，並持續改進上線中產品的用戶感。5.撰寫相關工具的初步產品需求，並對功能上版進行驗收。【具備專長及條件】1.具備兩年以上棋牌或老虎機在線遊戲行業從業經驗；2.熱愛博弈遊戲，能敏銳的判斷玩家對遊戲體驗的感受；3.至少兩年以上互聯網行業經驗，且基本了解博弈業務範圍和運作流程；4.熟悉在線遊戲活動策劃撰寫及了解用戶心態，對業績負責且對業務拓展有豐富經驗；5.熟悉網紅詞語，較強的廣告文稿撰寫能力；6.具備活動數據分析經驗和學習能力，能夠自行完成運營業務層面的數據分析及總結；7.思維開闊，善於捕捉熱點事件與話題，敏感度高，思維活躍，有創新意識和挑戰精神。8.會操作Office常用辦公軟件，word、excel、powerpoint、visual等。9.其他海外工作一年以上工作經驗者，能快適應異國環境者佳。, 條件要求  接受身份 上班族 工作經歷  3年以上  學歷要求  專科、大學、碩士  科系要求  不拘  語文條件  英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力 擅長工具  不拘  工作技能  不拘  其他條件  ((好奇福利嗎?看過來))1.別家宿舍兩人一間上下舖，我們給你住豪華Villa別墅、獨立一間房。2.別家辦公樓破舊牛鬼蛇神多，我們辦公樓高大尚有設計，辦公室還能看哈里發塔。3.萬一不小心生病了，公司提供每年5萬醫療津貼，讓您杜拜生病花費免煩惱。4.思鄉想家了，公司每年提供10萬機票補助，讓您到職4-6個月，選擇回國放個鬆。5.免費提供午晚餐，但任性想自己煮，可選擇折40AED(320NT/天)現金隨薪水發放。6.只要在杜拜，每月還會給予500AED(4000NT)駐杜津貼給你花花。7.生日壽星不再只有蛋糕和蠟燭，我們會發放實質500AED生日津貼真心祝福您。8.人性化工作時間，周休二日讓你生活杜拜有質量。9.每月除基本薪資及津貼，每年還有讓人開心的年終發放，讓你杜拜工作賺到笑吱吱。10.轉正貼心幫您辦理兩年杜拜工作簽，讓您在杜拜不用擔心自己打黑工。11.每周提供水果餐，每周辦公室零食吃到吐、每周吃下午茶增強Energy。12.年假21天；一年2天帶薪病假，讓您在杜拜能彈性運用。13.公司上下班、或是回國回家，我們有帥氣中東小哥接送讓你外出不煩惱。 顯示全部," 福利制度  法定項目  特別休假  其他福利  年終獎金  員工宿舍  交通車  零食櫃  不扣薪病假  電信費補助  醫療輔助  慶生會  配發公務機  免費下午茶  伙食津貼 1.彈性上班。2.每月除本薪之外，依工作表現之績效獎金。3.每月享有500AED(4000台幣)杜拜津貼。4.試用期轉正，公司協助辦理兩年杜拜工作簽，不押護照。5.每年100,000台幣機票津貼，未用完遞延至隔年轉現金。6.每年50,000台幣醫療津貼，未用完遞延至隔年轉現金。7.到職滿四個月以上，可申請返鄉假，一年共21日，未用完遞延至隔年轉現金。8.每年不扣薪資病假2天。9.每年年終獎金一個月。10.每週三水果日，每周六下午茶日。11.周一至周六免費午及晚餐供餐，若不點餐，可轉現金連薪資發放(160台幣/餐)。12.提供獨棟Villa宿舍，一人一間房、雙人床。13.生日津貼500AED(4000台幣)。14.杜拜門號或公務機提供。"," 聯絡方式  聯絡人  HR  E-mail  starwin014.hr@gmail.com,starwin015.hr@gmail.com  其他  由於HR大大身兼多職，因為能者多勞沒太多分身的原因，拜託大家請看以下聯繫需知 :1.杜拜晚台灣4小時，若需聯繫請於周一至周五台灣時間下午2點-10點 (((麻煩請配合)))2.請大家先看清楚工作內容，如有疑問透過以下方式聯繫，加入前請先投遞履歷表並告知面試的崗位及名字。Whats app帳號 : +60-1731852413.若不方便104投遞，可將履歷寄至 : starwin014.hr@gmail.com  104人力銀行提醒您  履歷關閉時仍可投遞履歷喔！面試時請遵守求職禮儀準時赴約並小心安全  職場安全提醒 "
(C)A-媒體專員(新竹),聖洋科技股份有限公司,https://www.104.com.tw/job/672pe?jobsource=jolist_c_relevance,在新竹想學習數位媒體投放？找行銷工作不必到台北1. LINE 廣告操作及優化 (亦可學習Facebook\Google 廣告操作)2.報表製作分析(熟稔Excel電腦操作) 3.廣告上稿、廣告平台操作、成效追蹤及監控、廣告成效分析及結案報表製作 4.邏輯分析強，主動細心、速度快、肯學習、具備團隊精神，工作態度佳5.對網路行銷有高度興趣者優先當紅媒體LINE的廣告投放，瞭解數位廣告最前線新知，在愈趨白熱化的數位戰場中，LINE媒體逆勢突出，透過數據分析及大量專案執行，累積執行 LINE 廣告操作 know-how，亦有機會接觸 Facebook\Google 廣告優化, 條件要求  接受身份 上班族、應屆畢業生 工作經歷  不拘  學歷要求  大學、碩士  科系要求  不拘  語文條件  英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力 擅長工具  不拘  工作技能  不拘  其他條件  此職務須具有良好的工作穩定性、學習成長意願高加分項目: 1. 對於數位媒體投放具高度熱忱者2. 數據分析相關經驗，對數據敏銳度高3. 熟悉 Excel 、ppt , 福利制度  法定項目  哺乳室  週休二日  家庭照顧假  勞保  健保  陪產假  產假  特別休假  育嬰留停  女性生理假  勞退提撥金  安胎假  產檢假  就業保險  防疫照顧假  員工體檢  職災保險  其他福利  零食櫃  咖啡吧  員工舒壓按摩  旅遊補助  部門聚餐 我有你也有的基本款──》零食餅乾、咖啡茶飲，天天提供！》年度健康檢查-你是我們的一份子，你的健康當然更要關心！》團體保險-除了基本意外醫療保險，因公出差也會列入保險範圍！不只如此，還有──》不定期公司聚餐-開開心心來上班，快快樂樂打牙祭！》免費按摩-瞬間打通你的任督二脈與疲勞壓力，給你滿滿的活力與精神！》家庭照顧假- 家家有本難念的經，帶薪休假，讓你好好平衡家庭與工作，照顧毛小孩也算喔！》專業內部教育訓練 – 不定期舉辦專業的訓練課程，讓你的功力與日俱增！》不定期內部競賽 - 提案王，專案銷售王，各種頭銜與獎金等你來挑戰！這還不夠，更棒的還有──》歡樂主題尾牙或春酒-讓你盡情變裝玩耍，吃飽喝足抽獎慶新年!》專案目標達成獎勵-達成目標，不囉唆，公司招待國內外行程，讓你好好放鬆，下回更衝！》員工旅遊-超級大手筆！每年一次的員工旅遊！（2015 年去過福岡、峇里島！2016年到泰國、東京、名古屋、北海道！2017 年去尼泊爾、清邁、沖繩、東京、大阪！2018 年去東京、首爾、柬埔寨！ 2019去過沖繩、曼谷、金澤） 》最重要的一點，我們有超級無敵可愛、親切、精益求精的強者同事們☺讓你每天都能大躍進，每天都有新收穫！如果你已經心動了，就把你的履歷投過來吧，如果頻率對了，我們會找個時間約你過來，或許….你就是我們下個要找的人！, 聯絡方式  聯絡人  人資  104人力銀行提醒您  履歷關閉時仍可投遞履歷喔！面試時請遵守求職禮儀準時赴約並小心安全  職場安全提醒 
(C)C-數位廣告優化師,聖洋科技股份有限公司,https://www.104.com.tw/job/6obsm?jobsource=jolist_c_relevance,期許自己成為數位全媒體顧問的你，歡迎在cacaFly充滿活力與超棒福利的環境裡，累積成就感、能見度，以及荷包的深度！提供完整教育訓練與強大技術支援的我們，需要這樣的人才：【工作時需熟悉Google廣告操作、Facebook廣告操作】 1. Google Adwords、Facebook廣告操作投放及優化分析2. 帳戶分析廣告數據、成效分析 、優化及建議 3. 定期報表製作整理，檢討廣告成效並向客戶回報討論改善方向4. 數位廣告文案撰寫發想與關鍵字文案優化策略建議 5. GA成效追蹤6. 根據不同產業做搜尋趨勢洞察與分析 7. 對廣告操作與數據分析具熱忱者尤佳 8. 負責所屬客戶的經營管理，並與支援團隊協調配合9. 學習能力佳，反應速度快，有效掌控及分配工作優先順序*薪資結構:月薪+績效獎金(另計)歡迎對數位廣告有高度興趣者，一起打造值得回憶的現在，以及令你驕傲的未來！, 條件要求  接受身份 上班族、二度就業 工作經歷  1年以上  學歷要求  大學以上  科系要求  不拘  語文條件  英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂 贊助提升英文能力 擅長工具 Excel、PowerPoint、Word贊助提升專業能力 工作技能 文書處理軟體操作 其他條件  具操作Fb、google媒體經驗一年以上佳優先面試經濟部工業局DIGI⁺ Talent計畫之結訓研習生(ECOM) , 福利制度  法定項目  哺乳室  週休二日  家庭照顧假  勞保  健保  陪產假  產假  特別休假  育嬰留停  女性生理假  勞退提撥金  安胎假  產檢假  就業保險  防疫照顧假  員工體檢  職災保險  其他福利  零食櫃  咖啡吧  員工舒壓按摩  旅遊補助  部門聚餐 我有你也有的基本款──》零食餅乾、咖啡茶飲，天天提供！》年度健康檢查-你是我們的一份子，你的健康當然更要關心！》團體保險-除了基本意外醫療保險，因公出差也會列入保險範圍！不只如此，還有──》不定期公司聚餐-開開心心來上班，快快樂樂打牙祭！》免費按摩-瞬間打通你的任督二脈與疲勞壓力，給你滿滿的活力與精神！》家庭照顧假- 家家有本難念的經，帶薪休假，讓你好好平衡家庭與工作，照顧毛小孩也算喔！》專業內部教育訓練 – 不定期舉辦專業的訓練課程，讓你的功力與日俱增！》不定期內部競賽 - 提案王，專案銷售王，各種頭銜與獎金等你來挑戰！這還不夠，更棒的還有──》歡樂主題尾牙或春酒-讓你盡情變裝玩耍，吃飽喝足抽獎慶新年!》專案目標達成獎勵-達成目標，不囉唆，公司招待國內外行程，讓你好好放鬆，下回更衝！》員工旅遊-超級大手筆！每年一次的員工旅遊！（2015 年去過福岡、峇里島！2016年到泰國、東京、名古屋、北海道！2017 年去尼泊爾、清邁、沖繩、東京、大阪！2018 年去東京、首爾、柬埔寨！ 2019去過沖繩、曼谷、金澤） 》最重要的一點，我們有超級無敵可愛、親切、精益求精的強者同事們☺讓你每天都能大躍進，每天都有新收穫！如果你已經心動了，就把你的履歷投過來吧，如果頻率對了，我們會找個時間約你過來，或許….你就是我們下個要找的人！, 聯絡方式  聯絡人  HR  104人力銀行提醒您  履歷關閉時仍可投遞履歷喔！面試時請遵守求職禮儀準時赴約並小心安全  職場安全提醒 
(C)K-企劃專員,聖洋科技股份有限公司,https://www.104.com.tw/job/71h8h?jobsource=jolist_c_relevance,期許自己成為數位全媒體顧問的你，歡迎在cacaFly充滿活力與超棒福利的環境裡，累積成就感、能見度，以及荷包的深度！工作內容：1. Google Adwords、Facebook廣告操作投放及優化分析2. 帳戶分析廣告數據、成效分析 、優化及建議 3. 定期報表製作整理，檢討廣告成效並向客戶回報討論改善方向 4. 數位廣告文案撰寫發想與關鍵字文案優化策略建議 5. GA成效追蹤 6. 根據不同產業做搜尋趨勢洞察與分析符合以下資格者，歡迎您加入我們的專業行列:1. 對廣告操作與數據分析具熱忱者尤佳 2. 邏輯佳，反應速度快，能有效掌控及分配工作優先順序 3. 喜歡數字，對於廣告優化師職務有強烈熱忱, 條件要求  接受身份 上班族、應屆畢業生 工作經歷  1年以上  學歷要求  大學以上  科系要求  不拘  語文條件  英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等 贊助提升英文能力 擅長工具 Apple、Windows XP、Excel、Outlook、PowerPoint、Word、Adobe Photoshop贊助提升專業能力 工作技能 品牌行銷管理、行銷策略擬定 具備證照  Google Adwords 認證、Google Analytics (分析) 個人認證資格  其他條件  未填寫 , 福利制度  法定項目  哺乳室  週休二日  家庭照顧假  勞保  健保  陪產假  產假  特別休假  育嬰留停  女性生理假  勞退提撥金  安胎假  產檢假  就業保險  防疫照顧假  員工體檢  職災保險  其他福利  零食櫃  咖啡吧  員工舒壓按摩  旅遊補助  部門聚餐 我有你也有的基本款──》零食餅乾、咖啡茶飲，天天提供！》年度健康檢查-你是我們的一份子，你的健康當然更要關心！》團體保險-除了基本意外醫療保險，因公出差也會列入保險範圍！不只如此，還有──》不定期公司聚餐-開開心心來上班，快快樂樂打牙祭！》免費按摩-瞬間打通你的任督二脈與疲勞壓力，給你滿滿的活力與精神！》家庭照顧假- 家家有本難念的經，帶薪休假，讓你好好平衡家庭與工作，照顧毛小孩也算喔！》專業內部教育訓練 – 不定期舉辦專業的訓練課程，讓你的功力與日俱增！》不定期內部競賽 - 提案王，專案銷售王，各種頭銜與獎金等你來挑戰！這還不夠，更棒的還有──》歡樂主題尾牙或春酒-讓你盡情變裝玩耍，吃飽喝足抽獎慶新年!》專案目標達成獎勵-達成目標，不囉唆，公司招待國內外行程，讓你好好放鬆，下回更衝！》員工旅遊-超級大手筆！每年一次的員工旅遊！（2015 年去過福岡、峇里島！2016年到泰國、東京、名古屋、北海道！2017 年去尼泊爾、清邁、沖繩、東京、大阪！2018 年去東京、首爾、柬埔寨！ 2019去過沖繩、曼谷、金澤） 》最重要的一點，我們有超級無敵可愛、親切、精益求精的強者同事們☺讓你每天都能大躍進，每天都有新收穫！如果你已經心動了，就把你的履歷投過來吧，如果頻率對了，我們會找個時間約你過來，或許….你就是我們下個要找的人！, 聯絡方式  聯絡人  HR  104人力銀行提醒您  履歷關閉時仍可投遞履歷喔！面試時請遵守求職禮儀準時赴約並小心安全  職場安全提醒 
(F)R-Java Backend Engineer,聖洋科技股份有限公司,https://www.104.com.tw/job/4y6cg?jobsource=jolist_a_relevance,null,null,null,null
(Jr./Sr.) Data Analyst 資深資料分析師,17LIVE_英屬維京群島商藝啟股份有限公司臺灣分公司,https://www.104.com.tw/job/736bz?jobsource=2018indexpoc,"亞洲即時互動體龍頭17 LIVE 秉持讓內容創作者發光發熱的使命，提供創作者影音平台進行直播互動、節目錄製與表演的舞台，更落實健全的系統化模式，從挖掘、培訓到宣傳，致力打破傳統經紀公司的模式，並攜手橫跨娛樂、網紅經紀等產業的合作夥伴，壯大海內外發展、布局全球，引領世界進入直播新媒體世代。M17 歡迎對以下工作內容有興趣的 資料分析師  加入我們的大家庭！＊定義問題、提供洞察，優化產品及營運各項關鍵指標＊與產品/營運團隊一同工作，透過挖掘數據，研究使用者行為以尋找商業機會＊設計產品實驗、分析結果以追蹤決策成效＊進行商業數據分析以提供可作為行動依據的提案 如果您具備以下工作技能及工作經驗，請不要猶豫立即手刀提出申請：＊透過操作及分析數據以驅動有效的商業行動＊從大量且多維度的資料提出洞見以提出可行策略＊研究使用者行為數據、設計實驗以驗證成效、透過分析多樣化的資料來優化營運成效＊利用資料視覺化方式組織並發佈可信服的資料分析結果以提供解決方案＊Python, R, SQL 相關開發經驗＊App 相關工作經驗＊量化分析相關工作經驗 3 年以上 加分條件：＊App開發/產品管理/使用者體驗/行銷 方面的知識經驗＊良好的英語讀寫能力M17 is the world leader in the live streaming industry and real-time content sharing mobile application for celebrities, entertainers, and influencers. We allow users to create and share their lives through live streams and photos, all while earning royalties.We are a global company, with users in more than 50 countries.We offer a dynamic work environment, and an opportunity to collaborate with passionate individuals and leading-edge technologies. As we rapidly expand across the world, we are looking for dedicated professionals to be a part of our family, to be part of our vision to be the global champion in live media and entertainment. We are currently hiring for (Jr./Sr.)  Data Analyst professional to join us: ＊Apply your skills to define the problem and provide insights to enhance product and operation.＊Co-work with product/operation teams by investigating user patterns and business opportunities to drive actions using data.＊Set up and execute the experiment to verify decision.＊Analyze monetization data, provide insights, and deliver actionable proposal.The following experiences are favored for this position: ＊Driving effective business action through manipulating and analyzing data.＊Consolidating insights from tons of metrics to make valued strategies.＊Investigating App user behavior, setting up experiments for verifying performance, and optimizing operation using diverse data.＊Organizing actionable proposal through visualizing convincing data analytic results.＊Python, R, SQL.＊App industry working experience.＊3+ years of experience in quantitation related fields.Good to have:＊Knowledge or work experience in App Development, Product Management, User Experience or Marketing.＊Good command of English Reading/Writing. ", 條件要求  接受身份 上班族 工作經歷  不拘  學歷要求  大學以上  科系要求  不拘  語文條件  不拘  擅長工具 Python、R、MS SQL、PL/SQL贊助提升專業能力 工作技能  不拘  其他條件  未填寫 , 福利制度  法定項目  哺乳室  勞保  健保  陪產假  產假  特別休假  育嬰留停  女性生理假  勞退提撥金  安胎假  產檢假  就業保險  員工體檢  職災保險  其他福利  員工紅利  年終獎金  三節獎金/禮品  零食櫃  咖啡吧  健身器材  生日假  不扣薪病假  結婚禮金  生育津貼  員工進修補助  部門聚餐  健身房  停車位  優於勞基法特休 【優渥禮金】- 提供三節禮金- 優秀人才推薦獎金【保障年薪】- 優渥薪資- 在職滿一年保障年薪14個月【硬體設備】- 寬敞明亮辦公環境- Macbook Air 13吋- Macbook Pro 15吋- 外接顯示器或iMac 27【員工專屬】- 健身房：提供豐富多元健身器材- 員工休閒區：提供清新舒適交誼空間- 各式聚餐與團隊凝聚活動- 免費供應午餐、茶點、飲料【年度假期】- 優於勞基法特休假條件- 到職即享有年假及全薪病假- 為犒賞員工，還有專屬生日假【進修補助】- 享有定期內部、教育訓練、案例分享、研討會- 年度職能進修補助與健康檢查補助【國際化職場】- 與美、日、中、新、馬等，國內外技術、行銷、管理優秀人才共事，提升國際視野與競爭力, 聯絡方式  聯絡人  HuangFrankie  其他  請透過以下網址正式申請職務：https://17live.bamboohr.com/jobs/view.php?id=307  104人力銀行提醒您  履歷關閉時仍可投遞履歷喔！面試時請遵守求職禮儀準時赴約並小心安全  職場安全提醒 
(LINE Bank) Data Engineer/Data Architect_資料工程師/資料架構師,LINE Bank_連線商業銀行股份有限公司,https://www.104.com.tw/job/6uceh?jobsource=jolist_a_relevance,[Responsibilities] -大數據暨人工智慧實驗室-透過大數據底暨人工智慧相關技術，協助業務單位完善數據驅動的動態風險管理、數據導向的主動資安防護、即時分析客戶行為的精準行銷以及機器學習基礎之便捷性金融服務-透過完整的數據架構、數據模型、數據字典以及數據品質的規劃，加上日常持續穩定的維運大數據分析以及營運平台、行銷活動管理平台、績效管理平台、數據探索以及商業分析平台等應用平台，以達成數據治理以及數據應用的角色。, 條件要求  接受身份 上班族 工作經歷  3年以上  學歷要求  專科、大學、碩士  科系要求  不拘  語文條件  英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力 擅長工具  不拘  工作技能  不拘  其他條件  [Basic Qualifications] -3年以上工作經驗-大學以上學歷，資訊工程，資訊管理，資訊科學等相關科系。 -具備大數據分析以及營運平台、行銷活動管理平台、績效管理平台等數據應用系統的規劃及建置經驗。 -具備數據架構、數據模型、數據字典以及數據品質的數據治理能力-熟悉 SQL、Oracle、Python、Informatica (ETL工具)、Oracle Golden Gate (CDC)、R語言、BI工具(含Report及DashBoard)、Google Analytic、ERWIN、Microservice、Java、Web開發經驗。 -具備良好英文溝通能力。-ET Informatica 一年以上經驗。 顯示全部, 福利制度 休假福利：優於勞基法的休假制度 保險福利：勞保、健保、勞退 ◆ 保險類 1. 勞保/勞退 2. 健保 3. 員工團保 ◆ 請 / 休假制度 1. 優於勞基法的年假 2. 生日假、文青假 3. 全薪家庭照顧假、病假◆ 獎金/禮品類 1. 三節獎金/禮品 ◆ 休閒類 1. 部門聚餐 2. 零食/飲料供應 3. 舒適的哺乳室空間 ◆ 健康類 1. 健康檢查 ◆ 補助類 1. 婚喪喜慶補助金 2. 生育津貼 3. 員工進修補助/運動補助 4. 住院慰問金5. 旅遊補助, 聯絡方式  聯絡人  人力資源部  104人力銀行提醒您  履歷關閉時仍可投遞履歷喔！面試時請遵守求職禮儀準時赴約並小心安全  職場安全提醒 
(Logistics) 集團物流系統與方案優化專案經理 (外派廈門),嘉捷科技企業股份有限公司,https://www.104.com.tw/job/6pwvf?jobsource=jolist_c_relevance,null,null,null,null
(OBM Logistics) 品牌事業群-全球物流專案經理 (外派廈門),嘉捷科技企業股份有限公司,https://www.104.com.tw/job/6qky4?jobsource=jolist_a_relevance,1.	全球物流的倉幹配管理，包含：KPI制定、運作規劃、流程改善及稽核管理。2.	管理與優化全球各site物流績效指標（成本及人力）及進度管控．3.	跨部門溝通協調，包含支援當地物流協作需求事項，需與海外各廠進行英文會議討論。4.	經營數據分析與報表管理，提供成本改善與作業效益優化提案。5.	第三方物流商的管理與稽核，提供相關物流資源訊息與建議。6.	其它主管交辦事項。, 條件要求  接受身份 上班族 工作經歷  5年以上  學歷要求  大學以上  科系要求  運輸通信學科類、商業及管理學科類、語文及人文學科類  語文條件  英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通 贊助提升英文能力 擅長工具 Excel、PowerPoint、Word贊助提升專業能力 工作技能 運輸路線規劃管理、運輸規劃 其他條件  1.大學畢業以上學歷，物流管理、工業工程、流程管理、資料分析相關科系優先。2. 至少5年以上工作經驗，需有流程管理or工廠物流or第三方物流之相關倉幹配管理經驗 (具大陸海外物流經驗尤佳)。3. 熟悉使用Office。4. 英文能力中上，多益600分以上水準，能熟練使用英語進行會議。5. 可以配合出差海外。6. 外派員工另提供外派津貼。 , 福利制度  法定項目  哺乳室  週休二日  家庭照顧假  勞保  健保  陪產假  產假  特別休假  育嬰留停  女性生理假  勞退提撥金  安胎假  就業保險  防疫照顧假  員工體檢  職災保險  其他福利  年終獎金  三節獎金/禮品  交通車  咖啡吧  社團補助  停車費補助  員工教育獎助學金  旅遊補助  國內旅遊  社團活動  免費下午茶  伙食津貼  員工團體保險 一、薪資：具競爭力的薪資(季獎金、年終分紅等)二、旅遊：員工國內一日遊活動、員工旅遊補助三、競賽活動：員工趣味競賽活動，如保齡球、羽球、籃球、桌球及各大節慶活動(中秋、端午、元宵)四、禮金津貼：三節禮金、生日禮金、婚喪喜慶補助金、進修獎助學金、育嬰補助津貼五、餐點：部份補助中餐、免費加班晚點、每週兩次的免費下午茶點心六、健檢：提供每年健康檢查、員工協助方案七、保險：勞健保外，亦提供團體保險給員工及眷屬八、升遷：提供通暢的升遷管道，讓優秀員工得以發展職涯規劃九、休假：優於勞基法給假制度, 聯絡方式  聯絡人  TPV人資部劉先生  其他  請於「自我推薦」時說明您適合此職缺的原因，可讓我們更了解您。適合者我們將會盡速主動聯繫您，謝謝!  104人力銀行提醒您  履歷關閉時仍可投遞履歷喔！面試時請遵守求職禮儀準時赴約並小心安全  職場安全提醒 
(Sr.) Business Analytics & Planning Analyst 營運分析企劃(資深)專員,台灣雅芳股份有限公司,https://www.104.com.tw/job/5wkak?jobsource=jolist_b_relevance,null,null,null,null
